name,score,popularity,genres,studios,type,year,episodes,themes,demographic,members,synopsis,features
Cowboy Bebop,8.75,42.0,"Action, Award Winning, Sci-Fi",Sunrise,TV,1998.0,26.0,"Adult Cast, Space",,2008019.0,,"Action, Award Winning, Sci-Fi Sunrise TV Adult Cast, Space "
Cowboy Bebop: Tengoku no Tobira,8.38,649.0,"Action, Sci-Fi",Bones,Movie,,1.0,"Adult Cast, Space",,403604.0,,"Action, Sci-Fi Bones Movie Adult Cast, Space "
Trigun,8.22,265.0,"Action, Adventure, Sci-Fi",Madhouse,TV,1998.0,26.0,Adult Cast,Shounen,815140.0,,"Action, Adventure, Sci-Fi Madhouse TV Adult Cast Shounen"
Witch Hunter Robin,7.23,1979.0,"Action, Drama, Mystery, Supernatural",Sunrise,TV,2002.0,26.0,Detective,,125868.0,,"Action, Drama, Mystery, Supernatural Sunrise TV Detective "
Bouken Ou Beet,6.92,5765.0,"Action, Adventure, Fantasy",Toei Animation,TV,2004.0,52.0,,Shounen,16456.0,,"Action, Adventure, Fantasy Toei Animation TV  Shounen"
Eyeshield 21,7.91,1390.0,Sports,Gallop,TV,2005.0,145.0,Team Sports,Shounen,193542.0,,Sports Gallop TV Team Sports Shounen
Hachimitsu to Clover,7.98,959.0,"Comedy, Drama, Romance",J.C.Staff,TV,2005.0,24.0,"Adult Cast, Love Polygon, Visual Arts",Josei,281693.0,,"Comedy, Drama, Romance J.C.Staff TV Adult Cast, Love Polygon, Visual Arts Josei"
Hungry Heart: Wild Striker,7.54,4767.0,Sports,Nippon Animation,TV,2002.0,52.0,Team Sports,Shounen,26482.0,,Sports Nippon Animation TV Team Sports Shounen
Initial D Fourth Stage,8.17,1291.0,"Action, Drama",A.C.G.T.,TV,2004.0,24.0,Racing,Seinen,208845.0,,"Action, Drama A.C.G.T. TV Racing Seinen"
Monster,8.89,119.0,"Drama, Mystery, Suspense",Madhouse,TV,2004.0,74.0,"Adult Cast, Psychological",Seinen,1274315.0,,"Drama, Mystery, Suspense Madhouse TV Adult Cast, Psychological Seinen"
Naruto,8.01,9.0,"Action, Adventure, Fantasy",Studio Pierrot,TV,2002.0,220.0,Martial Arts,Shounen,3046686.0,,"Action, Adventure, Fantasy Studio Pierrot TV Martial Arts Shounen"
One Piece,8.73,17.0,"Action, Adventure, Fantasy",Toei Animation,TV,1999.0,,,Shounen,2594576.0,,"Action, Adventure, Fantasy Toei Animation TV  Shounen"
Tennis no Oujisama,7.84,,,,,,,,,,,    
Ring ni Kakero 1,6.35,8944.0,Sports,Toei Animation,TV,2004.0,12.0,Combat Sports,Shounen,5539.0,,Sports Toei Animation TV Combat Sports Shounen
School Rumble,7.88,782.0,"Comedy, Romance",Studio Comet,TV,2004.0,26.0,"Gag Humor, Love Polygon, School",Shounen,341484.0,,"Comedy, Romance Studio Comet TV Gag Humor, Love Polygon, School Shounen"
Sunabouzu,7.36,1725.0,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Gonzo,TV,2004.0,24.0,,Seinen,149022.0,,"Action, Adventure, Comedy, Sci-Fi, Ecchi Gonzo TV  Seinen"
Texhnolyze,7.75,969.0,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",Madhouse,TV,2003.0,22.0,"Adult Cast, Organized Crime, Psychological",,279230.0,,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense Madhouse TV Adult Cast, Organized Crime, Psychological "
Trinity Blood,7.28,1375.0,"Action, Fantasy, Sci-Fi",Gonzo,TV,2005.0,24.0,Vampire,,196173.0,,"Action, Fantasy, Sci-Fi Gonzo TV Vampire "
Yakitate!! Japan,7.91,2263.0,"Comedy, Gourmet",Sunrise,TV,2004.0,69.0,,Shounen,103986.0,,"Comedy, Gourmet Sunrise TV  Shounen"
Zipang,7.49,4899.0,"Action, Drama, Sci-Fi",Studio Deen,TV,2004.0,26.0,"Adult Cast, Historical, Military, Time Travel",Seinen,24834.0,,"Action, Drama, Sci-Fi Studio Deen TV Adult Cast, Historical, Military, Time Travel Seinen"
Shinseiki Evangelion,8.36,45.0,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production",TV,1995.0,26.0,"Mecha, Psychological",,1971275.0,,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense Gainax, Tatsunoko Production TV Mecha, Psychological "
Shinseiki Evangelion Movie: Shi to Shinsei,7.49,983.0,"Drama, Sci-Fi, Suspense","Gainax, Production I.G, Tatsunoko Production",Movie,,1.0,"Mecha, Psychological",,275814.0,,"Drama, Sci-Fi, Suspense Gainax, Production I.G, Tatsunoko Production Movie Mecha, Psychological "
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,178.0,"Avant Garde, Drama, Sci-Fi, Suspense","Gainax, Production I.G",Movie,,1.0,"Mecha, Psychological",,1011478.0,,"Avant Garde, Drama, Sci-Fi, Suspense Gainax, Production I.G Movie Mecha, Psychological "
Kenpuu Denki Berserk,8.61,300.0,"Action, Adventure, Drama, Fantasy, Horror",OLM,TV,1997.0,25.0,"Gore, Military, Psychological",Seinen,740408.0,,"Action, Adventure, Drama, Fantasy, Horror OLM TV Gore, Military, Psychological Seinen"
Koukaku Kidoutai,8.27,342.0,"Award Winning, Mystery, Sci-Fi, Suspense",Production I.G,Movie,,1.0,"Adult Cast, Detective, Mecha, Psychological",Seinen,686320.0,,"Award Winning, Mystery, Sci-Fi, Suspense Production I.G Movie Adult Cast, Detective, Mecha, Psychological Seinen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,931.0,"Action, Drama, Romance",Studio Deen,OVA,,4.0,"Adult Cast, Historical, Samurai",Shounen,289443.0,,"Action, Drama, Romance Studio Deen OVA Adult Cast, Historical, Samurai Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,476.0,"Action, Comedy, Romance","Gallop, Studio Deen",TV,1996.0,94.0,"Historical, Samurai",Shounen,518816.0,,"Action, Comedy, Romance Gallop, Studio Deen TV Historical, Samurai Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,3292.0,Drama,Gallop,Movie,,1.0,"Historical, Samurai",Shounen,54883.0,,"Drama Gallop Movie Historical, Samurai Shounen"
